1/7/2019 10:23:37 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 10:33:43 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 10:43:48 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 10:53:53 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:03:58 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:14:04 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:24:09 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:34:14 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:44:19 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:54:25 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/8/2019 12:04:30 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
